year,topic,gamma
1617,1,0.01183827
1617,1,0.008244233
1617,1,0.007041706
1617,1,0.059521274
1617,1,0.019731088
1617,1,0.044866652
1617,1,0.003155268
1617,1,0.072809811
1617,1,0.012520555
1617,1,0.034206591
1617,1,0.02955321
1617,1,0.044783959
1617,1,0.018331336
1617,1,0.011226502
1617,1,0.056413402
1617,1,0.049930462
1617,1,0.02205309
1617,1,0.504468764
1617,1,0.363257236
1617,1,0.045249324
1617,1,0.537285442
1617,1,0.945629764
1617,1,0.040599256
1617,1,0.366044098
1617,1,0.049273977
1617,1,0.303689162
1617,1,0.288785325
1617,1,0.946529938
1617,1,0.382619082
